"year","WEO.Subject.Code","Country.Group.Name","Units","Scale","Subject.Descriptor","vintage","value"
2007,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2008,134.908
2007,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2008,123.308
2007,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2008,162.086
2007,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2008,137.468
2007,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2008,129.134
2007,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2008,126.656
2007,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2008,127.019
2007,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2008,125.18
2007,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2008,154.313
2007,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2008,99.351
2007,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2008,183.312
2007,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2008,140.415
2007,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2008,116.868
2007,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2008,131.686
2007,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2008,133.312
2007,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2008,114.165
2007,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2008,108.951
2007,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2008,96.534
2007,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2008,98.853
2007,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2008,106.736
2007,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2008,143.434
2007,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2008,143.877
2008,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2009,172.501
2008,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2009,152.001
2008,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2009,225.909
2008,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2009,269.86
2008,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2009,149.762
2008,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2009,157.778
2008,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2009,158.404
2008,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2009,137.561
2008,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2009,145.676
2008,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2009,103.24
2008,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2009,169.013
2008,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2009,151.757
