year,WEO.Subject.Code,Country.Group.Name,Units,Scale,Subject.Descriptor,vintage,value,location
2009,BCA_NGDPD,ASEAN-5,Percent of GDP,,Current account balance,2010,4.938,ASEAN-5
2009,BCA_NGDPD,Advanced economies,Percent of GDP,,Current account balance,2010,-0.254,Advanced economies
2009,BCA_NGDPD,Commonwealth of Independent States,Percent of GDP,,Current account balance,2010,2.49,Commonwealth of Independent States
2009,BCA_NGDPD,Euro area,Percent of GDP,,Current account balance,2010,-0.126,Euro area
2009,BCA_NGDPD,European Union,Percent of GDP,,Current account balance,2010,-0.254,European Union
2009,BCA_NGDPD,Major advanced economies (G7),Percent of GDP,,Current account balance,2010,-0.719,Major advanced economies (G7)
2009,BCA_NGDPD,Middle East and North Africa,Percent of GDP,,Current account balance,2010,1.986,Middle East and North Africa
2009,BCA_NGDPD,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,Current account balance,2010,4.123,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,BCA_NGDPD,Sub-Saharan Africa,Percent of GDP,,Current account balance,2010,-2.383,Sub-Saharan Africa
2009,BFD,Advanced economies,U.S. dollars,Billions,"Direct investment, net",2010,303.397,Advanced economies
2009,BFD,Commonwealth of Independent States,U.S. dollars,Billions,"Direct investment, net",2010,-15.489,Commonwealth of Independent States
2009,BFD,Euro area,U.S. dollars,Billions,"Direct investment, net",2010,39.796,Euro area
2009,BFD,Major advanced economies (G7),U.S. dollars,Billions,"Direct investment, net",2010,281.814,Major advanced economies (G7)
2009,BFD,Middle East and North Africa,U.S. dollars,Billions,"Direct investment, net",2010,-59.873,Middle East and North Africa
2009,BFD,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,"Direct investment, net",2010,21.636,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,BFD,Sub-Saharan Africa,U.S. dollars,Billions,"Direct investment, net",2010,-31.611,Sub-Saharan Africa
2009,BFRA,Advanced economies,U.S. dollars,Billions,Change in reserves,2010,483.265,Advanced economies
2009,BFRA,Commonwealth of Independent States,U.S. dollars,Billions,Change in reserves,2010,10.916,Commonwealth of Independent States
2009,BFRA,Euro area,U.S. dollars,Billions,Change in reserves,2010,58.355,Euro area
2009,BFRA,Major advanced economies (G7),U.S. dollars,Billions,Change in reserves,2010,128.203,Major advanced economies (G7)
2009,BFRA,Middle East and North Africa,U.S. dollars,Billions,Change in reserves,2010,-24.355,Middle East and North Africa
2009,BFRA,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Change in reserves,2010,332.404,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,BFRA,Sub-Saharan Africa,U.S. dollars,Billions,Change in reserves,2010,-8.415,Sub-Saharan Africa
2009,BM,Advanced economies,U.S. dollars,Billions,Imports of goods and services,2010,10445.783,Advanced economies
2009,BM,Commonwealth of Independent States,U.S. dollars,Billions,Imports of goods and services,2010,425.065,Commonwealth of Independent States
2009,BM,Euro area,U.S. dollars,Billions,Imports of goods and services,2010,2362.07,Euro area
2009,BM,Major advanced economies (G7),U.S. dollars,Billions,Imports of goods and services,2010,6030.316,Major advanced economies (G7)
